Month,Unemployment_Rate,Population,Bankruptcy_Rate,House_Price_Index
41994,10.9,28878673,0.0158595,66.9
51994,10.7,28907386,0.0168953,66.9
61994,10.3,28936287,0.0163912,67
71994,10.1,28966312,0.0148103,66.9
81994,10.2,29000063,0.0160862,67
91994,10.1,29036782,0.0170783,67
101994,10,29072231,0.016373,66.9
111994,9.7,29100134,0.0172164,66.8
121994,9.6,29116872,0.01438,66.7
11995,9.6,29127702,0.0150681,66.7
21995,9.6,29139543,0.0175535,66.6
31995,9.7,29158233,0.0207694,66.5
41995,9.5,29183446,0.0176573,66.5
51995,9.5,29211420,0.020937,66.3
61995,9.5,29239758,0.0198599,66.1
71995,9.6,29269159,0.017404,66.1
81995,9.5,29301850,0.0216096,66.1
91995,9.2,29337048,0.0197498,66
101995,9.3,29371304,0.0227467,65.7
111995,9.3,29399400,0.021963,65.4
121995,9.4,29418219,0.0179753,65.5
11996,9.4,29431749,0.0213817,65.4
21996,9.5,29445231,0.0232635,65.2
31996,9.6,29463483,0.0230794,65
41996,9.3,29486799,0.0241464,64.8
51996,9.3,29513468,0.0251682,64.7
61996,9.8,29542406,0.0221851,64.8
71996,9.8,29574043,0.0226212,64.7
81996,9.5,29609826,0.0224959,64.7
91996,9.9,29648004,0.0231145,64.7
101996,9.9,29684185,0.0268965,64.7
111996,9.9,29712161,0.0243739,64.9
121996,9.8,29728400,0.0232808,64.9
11997,9.5,29738336,0.0240666,65
21997,9.6,29749176,0.0256679,65.2
31997,9.4,29766867,0.0252126,65.2
41997,9.4,29791044,0.0302306,65.3
51997,9.4,29817915,0.0270005,65.3
61997,9.2,29845080,0.0251767,65.3
71997,8.9,29873415,0.0244465,65.4
81997,8.9,29905376,0.0244839,65.4
91997,8.8,29940156,0.0279491,65.4
101997,8.9,29973390,0.0260164,65.4
111997,8.8,29998718,0.0217743,65.6
121997,8.5,30012388,0.0207281,65.7
11998,8.8,30019340,0.0193475,65.8
21998,8.6,30026512,0.0231096,65.8
31998,8.4,30039473,0.0265551,65.9
41998,8.3,30058198,0.0252676,65.9
51998,8.3,30079835,0.0246976,65.9
61998,8.4,30102518,0.0262935,66
71998,8.3,30126850,0.0215057,66.1
81998,8.1,30154662,0.0201428,66.1
91998,8.2,30184965,0.0226073,66
101998,8,30213727,0.0227645,66.1
111998,8,30235199,0.0229567,66.1
121998,8.2,30246109,0.0199464,66.1
11999,7.9,30251373,0.0192388,66.1
21999,7.9,30257846,0.0229891,66.1
31999,7.9,30270910,0.026831,66.3
41999,8.2,30290568,0.0243937,66.3
51999,7.9,30314039,0.0226793,66.3
61999,7.6,30339503,0.0235798,66.3
71999,7.6,30367669,0.0208643,66.5
81999,7.4,30400554,0.0212496,66.7
91999,7.5,30436780,0.0237542,66.8
101999,7.2,30471181,0.0234156,66.9
111999,6.9,30496522,0.024875,67.1
121999,6.7,30508757,0.0203319,67.3
12000,6.8,30514376,0.0206165,67.3
22000,6.8,30522644,0.0250175,67.5
32000,6.9,30540388,0.0277403,67.6
42000,6.7,30565941,0.0227704,67.7
52000,6.7,30594231,0.0256519,67.9
62000,6.8,30621911,0.0259977,67.9
72000,6.7,30650698,0.0213959,68.1
82000,7,30684517,0.0244847,68.2
92000,7,30723183,0.0243204,68.4
102000,7,30760813,0.0252692,68.5
112000,7,30788819,0.0252397,68.8
122000,6.8,30802429,0.0181836,68.8
12001,6.9,30809386,0.0230709,69
22001,7,30820356,0.0238252,69.2
32001,7.1,30843183,0.0274972,69.4
42001,7.1,30875945,0.0247442,69.6
52001,7,30911573,0.0270352,69.7
62001,7.2,30945451,0.025936,69.9
72001,7.2,30979383,0.0230476,70.1
82001,7.2,31017925,0.0254337,70.2
92001,7.3,31061109,0.0237113,70.4
102001,7.5,31102946,0.0286307,70.4
112001,7.6,31134497,0.0272945,70.6
122001,8,31150618,0.0214506,70.8
12002,8,31158690,0.0245614,71
22002,7.9,31169030,0.0244056,71.4
32002,7.9,31189508,0.0256368,71.7
42002,7.7,31219067,0.0269867,72.1
52002,7.7,31252044,0.0265615,72.6
62002,7.6,31284578,0.0234301,72.7
72002,7.7,31317403,0.023926,72.9
82002,7.4,31353332,0.0241697,73.2
92002,7.5,31391452,0.025284,73.3
102002,7.5,31426651,0.0274417,73.7
112002,7.4,31451530,0.0243994,74.2
122002,7.5,31462134,0.0214258,74.4
12003,7.4,31465870,0.0241722,74.6
22003,7.4,31473024,0.0267467,75
32003,7.4,31490949,0.0283828,75.1
42003,7.6,31518018,0.0283203,75.4
52003,7.9,31548091,0.0274216,75.8
62003,7.7,31577014,0.027349,76
72003,7.7,31606062,0.0265835,76.3
82003,7.8,31638833,0.0239484,76.7
92003,7.9,31675264,0.0271979,77
102003,7.5,31710703,0.029829,77.4
112003,7.4,31738152,0.0258301,77.9
122003,7.4,31753552,0.0231659,78.1
12004,7.4,31762608,0.0231404,78.4
22004,7.4,31773357,0.0271265,78.7
32004,7.3,31792087,0.0324609,78.9
42004,7.2,31817769,0.0285469,79.6
52004,7.2,31846365,0.0262605,80.2
62004,7.3,31875188,0.0278398,80.8
72004,7,31905381,0.0238424,80.9
82004,7,31939882,0.0247966,81.3
92004,7,31977968,0.0263556,81.5
102004,7.1,32014671,0.0262317,81.7
112004,7.2,32042740,0.0275289,82
122004,7.1,32057929,0.0228867,82.2
12005,7,32065962,0.0232271,82.4
22005,7.1,32074829,0.0269401,82.7
32005,6.9,32090986,0.0292886,83
42005,6.7,32114574,0.0298743,83.4
52005,6.9,32142431,0.0280097,83.9
62005,6.8,32172535,0.0280705,84.5
72005,6.6,32205730,0.0230891,84.7
82005,6.7,32244365,0.0260883,85
92005,6.7,32286873,0.0266796,85.5
102005,6.7,32327456,0.0266987,86.1
112005,6.3,32357945,0.0284969,86.5
122005,6.6,32373688,0.0223731,87.1
12006,6.6,32381690,0.0234207,87.9
22006,6.4,32391651,0.0254418,88.4
32006,6.3,32411039,0.0296411,89.3
42006,6.3,32439027,0.0250531,90.4
52006,6,32470497,0.0266087,91.5
62006,6.1,32502195,0.0258107,92.8
72006,6.3,32535714,0.0220191,93.8
82006,6.4,32574857,0.0253724,95.2
92006,6.4,32619037,0.0252273,95.7
102006,6.2,32662165,0.0266936,95.9
112006,6.3,32695349,0.0266539,96.4
122006,6.1,32713377,0.0209018,96.4
12007,6.2,32723208,0.0242142,96.8
22007,6.2,32734531,0.0250031,97.2
32007,6.1,32755054,0.0282168,97.6
42007,6.1,32784353,0.0261872,98.4
52007,6,32817724,0.0285341,99.4
62007,6,32852066,0.0255982,100
72007,6.1,32888239,0.0238893,101
82007,6,32929032,0.0263159,101.4
92007,5.9,32973332,0.0243803,101.7
102007,5.9,33016263,0.0280948,101.8
112007,6,33050619,0.0274253,102.3
122007,6,33072122,0.0201615,102.4
12008,5.9,33086330,0.0250647,103
22008,5.9,33100838,0.0276458,103.3
32008,6,33122327,0.0262723,103.6
42008,6.1,33151412,0.0308222,103.6
52008,6.1,33186111,0.0285662,103.5
62008,6,33224963,0.0270519,103.6
72008,6.1,33267853,0.0286884,103.7
82008,6.1,33315782,0.0263779,103.7
92008,6.2,33365904,0.0318529,103.7
102008,6.2,33413129,0.0343697,103.3
112008,6.5,33450323,0.0316559,103
122008,6.8,33473477,0.0296473,102.9
12009,7.4,33489134,0.0304815,102.2
22009,8,33505581,0.0349375,101.5
32009,8.1,33530096,0.0406471,101
42009,8.2,33562548,0.0411709,100.5
52009,8.5,33598567,0.0376177,100.3
62009,8.6,33635535,0.0410042,100.1
72009,8.6,33674709,0.0388748,100.4
82009,8.7,33719303,0.0356858,100.5
92009,8.2,33768086,0.0457978,100.9
102009,8.3,33815179,0.0368357,101.2
112009,8.4,33852007,0.0357764,101.6
122009,8.5,33873524,0.0317768,101.9
12010,8.3,33886461,0.029563,102.3
22010,8.2,33899938,0.0325692,102.4
32010,8.2,33921689,0.0377229,102.7
42010,8.1,33952017,0.0366266,102.9
52010,8.1,33987177,0.0327276,103.3
62010,7.9,34024639,0.0349727,103.4
72010,8,34064515,0.0304477,103.3
82010,8.1,34108441,0.03102,103.4
92010,8,34154785,0.0333156,103.6
102010,7.8,34200637,0.0334606,103.6
112010,7.6,34241365,0.0350488,103.9
122010,7.6,34272214,0.0289219,104
